#Aegean version 2.0.2-(2018-07-04)
# on dataset: ab6860_J141918.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0142,00) -0.000001  0.001236 14:18:41.61  +40:09:04.93 214.6733868 -1.0000000  40.1513688 -1.0000000  0.007738 -1.000000  0.007738 -1.000000 46.61 -1.00 42.27 -1.00   12.2  -1.0   0000111
(0143,00)  0.000365  0.004295 14:19:58.46  +40:16:26.66 214.9935894  0.0010990  40.2740731  0.0013085  0.024127  0.004007  0.024127  0.004007 46.61 -1.00 42.27 -1.00   12.2  -1.0   0000100
(0002,00) -0.000113  0.003729 14:20:32.65  +39:15:55.74 215.1360625  0.0007049  39.2654824  0.0012361  0.034978  0.005436  0.034978  0.005436 46.61 -1.00 42.27 -1.00   12.2  -1.0   0000100
(0003,00) -0.000113  0.003729 14:20:14.89  +39:16:00.21 215.0620477  0.0011593  39.2667250  0.0017138  0.021330  0.004233  0.021330  0.004233 46.61 -1.00 42.27 -1.00   12.2  -1.0   0000100
(0004,00) -0.000113  0.003729 14:20:02.05  +39:16:08.60 215.0085601  0.0009391  39.2690569  0.0006657  0.027058  0.003728  0.022070  0.004007 45.08  2.27 35.64  3.81  -77.1   0.6   0000000
(0006,00) -0.000113  0.003729 14:20:34.80  +39:17:46.85 215.1449794  0.0005625  39.2963481  0.0003811  0.052741  0.003230  0.094214  0.007244 69.74  1.17 50.46  2.19  -76.1   0.2   0000000
(0007,00) -0.000208  0.006425 14:19:19.92  +39:17:21.64 214.8329811  0.0014835  39.2893436  0.0010890  0.036615  0.006267  0.053048  0.013075 57.82  4.40 49.36  7.91  -81.6   1.2   0000000
(0013,00)  0.000042  0.000719 14:20:33.90  +39:23:33.41 215.1412672  0.0032458  39.3926135  0.0083730  0.004100  0.000653  0.017302  0.006051 114.26 33.11 72.76  8.28   30.0   0.7   0000000
(0015,00)  0.000058  0.001224 14:18:39.94  +39:23:22.83 214.6663965  0.0006875  39.3896744  0.0012315  0.012276  0.001978  0.012276  0.001978 46.61 -1.00 42.27 -1.00   12.2  -1.0   0000100
(0018,00)  0.000058  0.001224 14:18:16.81  +39:23:52.47 214.5700475  0.0005634  39.3979080  0.0013197  0.016636  0.001003  0.036612  0.003127 102.98  5.20 42.09  1.40   11.5   0.0   0000000
