#Aegean version 2.0.2-(2018-07-04)
# on dataset: NVSS_J141918.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0041,00) -0.000003  0.000521 14:19:10.02  +40:04:08.29 214.7917662  0.0004202  40.0689704  0.0004338  0.007289  0.000496  0.008614  0.000586 49.75  0.06 48.10  0.06   -2.3   1.4   0000000
(0042,00)  0.000135  0.000466 14:17:28.43  +40:06:56.80 214.3684660  0.0010895  40.1157768  0.0010599  0.002914  0.000419  0.002944  0.000423 45.45 -1.00 45.00 -1.00  -90.0  -1.0   0000100
(0043,00)  0.000008  0.000513 14:20:30.95  +40:08:12.14 215.1289464  0.0003027  40.1367069  0.0002634  0.011054  0.000479  0.014208  0.000621 54.30  0.22 47.94  0.18   78.1   0.3   0000000
(0044,00)  0.000008  0.000513 14:20:10.47  +40:09:19.15 215.0436344  0.0011769  40.1553189  0.0010544  0.002987  0.000456  0.003017  0.000461 45.45 -1.00 45.00 -1.00   90.0  -1.0   0000100
(0045,00)  0.000036  0.000374 14:21:24.34  +40:09:33.86 215.3514149  0.0008947  40.1594058  0.0008939  0.002564  0.000326  0.002590  0.000330 45.45 -1.00 45.00 -1.00   90.0  -1.0   0000100
(0046,00)  0.000008  0.000513 14:21:04.65  +40:10:23.52 215.2693851  0.0000474  40.1731994  0.0000523  0.063948  0.000495  0.071568  0.000554 47.97  0.00 47.24  0.00  -89.0   0.4   0000000
(0047,00) -0.000003  0.000521 14:18:42.28  +40:10:12.56 214.6761629  0.0006338  40.1701544  0.0005569  0.005591  0.000482  0.008136  0.000701 57.24  0.09 51.48  0.08  -87.8   0.7   0000000
(0021,00) -0.000008  0.000538 14:18:51.50  +39:44:28.12 214.7145978  0.0008828  39.7411434  0.0010190  0.003683  0.000526  0.004530  0.000801 53.65  4.06 46.42  3.34    3.7   0.8   0000000
(0022,00) -0.000008  0.000538 14:18:58.82  +39:46:38.70 214.7450801  0.0000137  39.7774165  0.0000161  0.215871  0.000503  0.265187  0.000618 53.19  0.00 46.77  0.00    2.0   0.0   0000000
(0023,00)  0.000036  0.000486 14:17:32.16  +39:46:17.98 214.3840060 -1.0000000  39.7716622 -1.0000000  0.002547 -1.000000  0.002573 -1.000000 45.45 -1.00 45.00 -1.00   -0.0  -1.0   0010101
(0024,00)  0.000036  0.000486 14:18:04.44  +39:47:03.40 214.5185086  0.0002055  39.7842774  0.0002047  0.013843  0.000463  0.015513  0.000601 47.70  0.66 47.58  0.66    0.3   8.8   0000000
